match_key,player,pos,age,minutes_played,goals,assists,xg,xag,is_starter
2025-12-07_lyon,Mathys De Carvalho,CM,20-220,45,0,0,0.1,0.0,True
2025-12-07_lyon,Hans Hateboer,WB,31-332,45,0,0,0.0,0.0,True
2025-12-07_lyon,Ainsley Maitland-Niles,WB,28-100,41,0,0,0.0,0.0,False
2025-12-07_lyon,Afonso Moreira,WB,20-263,21,0,0,0.1,0.0,False
2025-12-14_lyon,Abner,LB,25-201,90,0,0,0.0,0.0,True
2025-12-14_lyon,Afonso Moreira,LW,20-270,90,0,1,0.1,0.5,True
2025-12-14_lyon,Clinton Mata,CB,33-037,90,0,0,0.0,0.0,True
2025-12-14_lyon,Dominik Greif,GK,28-252,90,0,0,0.0,0.0,True
2025-12-14_lyon,Corentin Tolisso,LM,31-133,90,0,0,1.1,0.5,True
2025-12-14_lyon,Tyler Morton,CM,23-044,90,0,0,0.2,0.4,True
2025-12-14_lyon,Moussa Niakhate,CB,29-281,90,0,0,0.0,0.0,True
2025-12-14_lyon,Pavel Šulc,"RW,FW",24-350,88,1,0,0.8,0.3,True
2025-12-14_lyon,Hans Hateboer,RB,31-339,84,0,0,0.1,0.0,True
2025-12-14_lyon,Martin Satriano,FW,24-297,72,0,0,0.2,0.1,True
2025-12-14_lyon,Khalis Merah,RM,18-293,72,0,0,0.0,0.0,True
2025-12-14_lyon,Adam Karabec,RW,22-165,18,0,0,0.0,0.2,False
2025-12-14_lyon,Mathys De Carvalho,RM,20-227,18,0,0,0.3,0.0,False
2025-12-14_lyon,Ruben Kluivert,RB,24-207,6,0,0,0.0,0.0,False
2025-12-14_lyon,Rachid Ghezzal,FW,33-219,2,0,0,0.0,0.0,False
2026-01-03_lyon,Afonso Moreira,FW,20-290,90,0,0,0.1,0.1,True
2026-01-03_lyon,Clinton Mata,CB,33-057,90,0,0,0.0,0.0,True
2026-01-03_lyon,Ainsley Maitland-Niles,RB,28-127,90,0,1,0.0,0.1,True
2026-01-03_lyon,Dominik Greif,GK,28-272,90,0,0,0.0,0.0,True
2026-01-03_lyon,Tyler Morton,CM,23-064,90,0,0,0.1,0.1,True
2026-01-03_lyon,Ruben Kluivert,CB,24-227,90,0,0,0.0,0.0,True
2026-01-03_lyon,Nicolás Tagliafico,LB,33-125,90,0,2,0.1,0.8,True
2026-01-03_lyon,Corentin Tolisso,LM,31-153,89,0,0,0.1,0.1,True
2026-01-03_lyon,Abner,RM,25-221,80,1,0,0.1,0.0,True
2026-01-03_lyon,Pavel Šulc,FW,25-005,80,2,0,0.8,0.0,True
2026-01-03_lyon,Khalis Merah,AM,18-313,65,0,0,0.0,0.0,True
2026-01-03_lyon,Tanner Tessmann,"RM,AM",24-101,25,0,0,0.0,0.0,False
2026-01-03_lyon,Adam Karabec,FW,22-185,10,0,0,0.1,0.0,False
2026-01-03_lyon,Orel Mangala,AM,27-291,10,0,0,0.0,0.0,False
2026-01-03_lyon,Martin Satriano,LM,24-317,1,0,0,0.0,0.0,False
