match_key,combo,size
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Georges Mikautadze + Sael Kumbedi,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Georges Mikautadze + Tanner Tessmann,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Georges Mikautadze + Tyler Morton,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Malick Fofana + Moussa Niakhate,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Malick Fofana + Rémy Descamps,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Malick Fofana + Sael Kumbedi,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Malick Fofana + Tanner Tessmann,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Malick Fofana + Tyler Morton,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Moussa Niakhate + Rémy Descamps,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Moussa Niakhate + Sael Kumbedi,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Moussa Niakhate + Tanner Tessmann,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Moussa Niakhate + Tyler Morton,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Rémy Descamps + Sael Kumbedi,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Rémy Descamps + Tanner Tessmann,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Rémy Descamps + Tyler Morton,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Sael Kumbedi + Tanner Tessmann,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Sael Kumbedi + Tyler Morton,4
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles + Tanner Tessmann + Tyler Morton,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Corentin Tolisso + Georges Mikautadze,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Corentin Tolisso + Malick Fofana,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Corentin Tolisso + Moussa Niakhate,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Corentin Tolisso + Rémy Descamps,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Corentin Tolisso + Sael Kumbedi,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Corentin Tolisso + Tanner Tessmann,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Corentin Tolisso + Tyler Morton,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Georges Mikautadze + Malick Fofana,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Georges Mikautadze + Moussa Niakhate,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Georges Mikautadze + Rémy Descamps,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Georges Mikautadze + Sael Kumbedi,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Georges Mikautadze + Tanner Tessmann,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Georges Mikautadze + Tyler Morton,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Malick Fofana + Moussa Niakhate,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Malick Fofana + Rémy Descamps,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Malick Fofana + Sael Kumbedi,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Malick Fofana + Tanner Tessmann,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Malick Fofana + Tyler Morton,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Moussa Niakhate + Rémy Descamps,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Moussa Niakhate + Sael Kumbedi,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Moussa Niakhate + Tanner Tessmann,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Moussa Niakhate + Tyler Morton,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Rémy Descamps + Sael Kumbedi,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Rémy Descamps + Tanner Tessmann,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Rémy Descamps + Tyler Morton,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Sael Kumbedi + Tanner Tessmann,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Sael Kumbedi + Tyler Morton,4
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata + Tanner Tessmann + Tyler Morton,4
2526_2025-08-16 Lens-Lyon,Abner + Corentin Tolisso + Georges Mikautadze + Malick Fofana,4
2526_2025-08-16 Lens-Lyon,Abner + Corentin Tolisso + Georges Mikautadze + Moussa Niakhate,4
2526_2025-08-16 Lens-Lyon,Abner + Corentin Tolisso + Georges Mikautadze + Rémy Descamps,4
