combo,size,matches,avg_points,avg_score_final,combo_size
Afonso Moreira + Ainsley Maitland-Niles + Nicolás Tagliafico,3,13,1.54,58.06,3
Afonso Moreira + Corentin Tolisso + Nicolás Tagliafico,3,13,1.54,58.06,3
Ainsley Maitland-Niles + Corentin Tolisso + Nicolás Tagliafico,3,13,1.54,58.06,3
Afonso Moreira + Corentin Tolisso + Tyler Morton,3,13,1.54,57.99,3
Martin Satriano + Mathys De Carvalho + Tanner Tessmann,3,6,1.5,58.15,3
Afonso Moreira + Pavel Šulc + Tanner Tessmann,3,12,1.5,57.92,3
Afonso Moreira + Ainsley Maitland-Niles + Martin Satriano,3,10,1.5,57.83,3
Ainsley Maitland-Niles + Corentin Tolisso + Martin Satriano,3,10,1.5,57.83,3
Ainsley Maitland-Niles + Dominik Greif + Martin Satriano,3,10,1.5,57.83,3
Ainsley Maitland-Niles + Martin Satriano + Pavel Šulc,3,10,1.5,57.83,3
Afonso Moreira + Ainsley Maitland-Niles + Mathys De Carvalho,3,8,1.5,57.65,3
Ainsley Maitland-Niles + Corentin Tolisso + Mathys De Carvalho,3,8,1.5,57.65,3
Ainsley Maitland-Niles + Dominik Greif + Mathys De Carvalho,3,8,1.5,57.65,3
Ainsley Maitland-Niles + Mathys De Carvalho + Moussa Niakhate,3,8,1.5,57.65,3
Ainsley Maitland-Niles + Mathys De Carvalho + Pavel Šulc,3,8,1.5,57.65,3
Moussa Niakhate + Nicolás Tagliafico + Ruben Kluivert,3,4,1.5,57.65,3
Abner + Malick Fofana + Ruben Kluivert,3,4,1.5,57.58,3
Adam Karabec + Malick Fofana + Ruben Kluivert,3,4,1.5,57.58,3
Ainsley Maitland-Niles + Malick Fofana + Ruben Kluivert,3,4,1.5,57.58,3
Clinton Mata + Malick Fofana + Ruben Kluivert,3,4,1.5,57.58,3
Corentin Tolisso + Malick Fofana + Ruben Kluivert,3,4,1.5,57.58,3
Malick Fofana + Moussa Niakhate + Ruben Kluivert,3,4,1.5,57.58,3
Malick Fofana + Pavel Šulc + Ruben Kluivert,3,4,1.5,57.58,3
Malick Fofana + Ruben Kluivert + Tanner Tessmann,3,4,1.5,57.58,3
Malick Fofana + Ruben Kluivert + Tyler Morton,3,4,1.5,57.58,3
Afonso Moreira + Corentin Tolisso + Pavel Šulc,3,14,1.5,57.35,3
Afonso Moreira + Ainsley Maitland-Niles + Corentin Tolisso,3,14,1.5,57.31,3
Afonso Moreira + Martin Satriano + Mathys De Carvalho,3,8,1.5,57.09,3
Corentin Tolisso + Martin Satriano + Mathys De Carvalho,3,8,1.5,57.09,3
Dominik Greif + Martin Satriano + Mathys De Carvalho,3,8,1.5,57.09,3
Martin Satriano + Mathys De Carvalho + Moussa Niakhate,3,8,1.5,57.09,3
Martin Satriano + Mathys De Carvalho + Pavel Šulc,3,8,1.5,57.09,3
Afonso Moreira + Malick Fofana + Tyler Morton,3,6,1.5,57.05,3
Malick Fofana + Nicolás Tagliafico + Tyler Morton,3,6,1.5,57.05,3
Adam Karabec + Afonso Moreira + Ruben Kluivert,3,6,1.5,56.6,3
